震央地名,遠地
石狩地方北部,FALSE
石狩地方中部,FALSE
石狩地方南部,FALSE
後志地方北部,FALSE
後志地方東部,FALSE
後志地方西部,FALSE
空知地方北部,FALSE
空知地方中部,FALSE
空知地方南部,FALSE
渡島地方北部,FALSE
渡島地方東部,FALSE
渡島地方西部,FALSE
檜山地方,FALSE
胆振地方西部,FALSE
胆振地方中東部,FALSE
日高地方西部,FALSE
日高地方中部,FALSE
日高地方東部,FALSE
上川地方北部,FALSE
上川地方中部,FALSE
上川地方南部,FALSE
留萌地方中北部,FALSE
留萌地方南部,FALSE
宗谷地方北部,FALSE
宗谷地方南部,FALSE
網走地方,FALSE
北見地方,FALSE
紋別地方,FALSE
十勝地方北部,FALSE
十勝地方中部,FALSE
十勝地方南部,FALSE
釧路地方北部,FALSE
釧路地方中南部,FALSE
根室地方北部,FALSE
根室地方中部,FALSE
根室地方南部,FALSE
北海道南西沖,FALSE
北海道西方沖,FALSE
石狩湾,FALSE
北海道北西沖,FALSE
宗谷海峡,FALSE
国後島付近,FALSE
択捉島付近,FALSE
北海道東方沖,FALSE
根室半島南東沖,FALSE
釧路沖,FALSE
十勝沖,FALSE
浦河沖,FALSE
苫小牧沖,FALSE
内浦湾,FALSE
宗谷東方沖,FALSE
網走沖,FALSE
択捉島南東沖,FALSE
青森県津軽北部,FALSE
青森県津軽南部,FALSE
青森県三八上北地方,FALSE
青森県下北地方,FALSE
岩手県沿岸北部,FALSE
岩手県沿岸南部,FALSE
岩手県内陸北部,FALSE
岩手県内陸南部,FALSE
宮城県北部,FALSE
宮城県南部,FALSE
宮城県中部,FALSE
秋田県沿岸北部,FALSE
秋田県沿岸南部,FALSE
秋田県内陸北部,FALSE
秋田県内陸南部,FALSE
山形県庄内地方,FALSE
山形県最上地方,FALSE
山形県村山地方,FALSE
山形県置賜地方,FALSE
福島県中通り,FALSE
福島県浜通り,FALSE
福島県会津,FALSE
津軽海峡,FALSE
山形県沖,FALSE
秋田県沖,FALSE
青森県西方沖,FALSE
陸奥湾,FALSE
青森県東方沖,FALSE
岩手県沖,FALSE
宮城県沖,FALSE
三陸沖,FALSE
福島県沖,FALSE
茨城県北部,FALSE
茨城県南部,FALSE
千葉県南東沖,FALSE
栃木県北部,FALSE
栃木県南部,FALSE
群馬県北部,FALSE
群馬県南部,FALSE
埼玉県北部,FALSE
埼玉県南部,FALSE
埼玉県秩父地方,FALSE
千葉県北東部,FALSE
千葉県北西部,FALSE
千葉県南部,FALSE
房総半島南方沖,FALSE
東京都23区,FALSE
東京都多摩東部,FALSE
東京都多摩西部,FALSE
神奈川県東部,FALSE
神奈川県西部,FALSE
新潟県上越地方,FALSE
新潟県中越地方,FALSE
新潟県下越地方,FALSE
新潟県下越沖,FALSE
新潟県上中越沖,FALSE
富山県東部,FALSE
富山県西部,FALSE
石川県能登地方,FALSE
石川県加賀地方,FALSE
福井県嶺北,FALSE
福井県嶺南,FALSE
山梨県中・西部,FALSE
山梨県東部・富士五湖,FALSE
長野県北部,FALSE
長野県中部,FALSE
長野県南部,FALSE
岐阜県飛騨地方,FALSE
岐阜県美濃東部,FALSE
岐阜県美濃中西部,FALSE
静岡県伊豆地方,FALSE
静岡県東部,FALSE
静岡県中部,FALSE
静岡県西部,FALSE
愛知県東部,FALSE
愛知県西部,FALSE
三重県北部,FALSE
三重県中部,FALSE
三重県南部,FALSE
三重県南東沖,FALSE
茨城県沖,FALSE
関東東方沖,FALSE
千葉県東方沖,FALSE
八丈島東方沖,FALSE
八丈島近海,FALSE
伊豆大島近海,FALSE
三宅島近海,FALSE
新島・神津島近海,FALSE
東京湾,FALSE
相模湾,FALSE
伊豆半島東方沖,FALSE
駿河湾,FALSE
駿河湾南方沖,FALSE
遠州灘,FALSE
三河湾,FALSE
伊勢湾,FALSE
若狭湾,FALSE
福井県沖,FALSE
石川県西方沖,FALSE
能登半島沖,FALSE
富山湾,FALSE
佐渡付近,FALSE
東海道南方沖,FALSE
滋賀県北部,FALSE
滋賀県南部,FALSE
京都府北部,FALSE
京都府南部,FALSE
大阪府北部,FALSE
大阪府南部,FALSE
兵庫県北部,FALSE
兵庫県南東部,FALSE
兵庫県南西部,FALSE
奈良県,FALSE
和歌山県北部,FALSE
和歌山県南部,FALSE
鳥取県東部,FALSE
鳥取県中部,FALSE
鳥取県西部,FALSE
島根県東部,FALSE
島根県西部,FALSE
岡山県北部,FALSE
岡山県南部,FALSE
広島県北部,FALSE
広島県南東部,FALSE
広島県南西部,FALSE
徳島県北部,FALSE
徳島県南部,FALSE
香川県東部,FALSE
香川県西部,FALSE
愛媛県東予,FALSE
愛媛県中予,FALSE
愛媛県南予,FALSE
高知県東部,FALSE
高知県中部,FALSE
高知県西部,FALSE
土佐湾,FALSE
紀伊水道,FALSE
大阪湾,FALSE
播磨灘,FALSE
瀬戸内海中部,FALSE
安芸灘,FALSE
周防灘,FALSE
伊予灘,FALSE
豊後水道,FALSE
山口県北西沖,FALSE
島根県沖,FALSE
鳥取県沖,FALSE
隠岐島近海,FALSE
兵庫県北方沖,FALSE
京都府沖,FALSE
淡路島付近,FALSE
和歌山県南方沖,FALSE
山口県北部,FALSE
山口県西部,FALSE
山口県東部,FALSE
山口県中部,FALSE
福岡県福岡地方,FALSE
福岡県北九州地方,FALSE
福岡県筑豊地方,FALSE
福岡県筑後地方,FALSE
佐賀県北部,FALSE
佐賀県南部,FALSE
長崎県北部,FALSE
長崎県南西部,FALSE
長崎県島原半島,FALSE
熊本県阿蘇地方,FALSE
熊本県熊本地方,FALSE
熊本県球磨地方,FALSE
熊本県天草・芦北地方,FALSE
大分県北部,FALSE
大分県中部,FALSE
大分県南部,FALSE
大分県西部,FALSE
宮崎県北部平野部,FALSE
宮崎県北部山沿い,FALSE
宮崎県南部平野部,FALSE
宮崎県南部山沿い,FALSE
鹿児島県薩摩地方,FALSE
鹿児島県大隅地方,FALSE
五島列島近海,FALSE
天草灘,FALSE
有明海,FALSE
橘湾,FALSE
鹿児島湾,FALSE
種子島近海,FALSE
日向灘,FALSE
奄美大島近海,FALSE
奄美大島北東沖,FALSE
壱岐・対馬近海,FALSE
福岡県北西沖,FALSE
薩摩半島西方沖,FALSE
トカラ列島近海,FALSE
奄美大島北西沖,FALSE
大隅半島東方沖,FALSE
九州地方南東沖,FALSE
種子島南東沖,FALSE
薩南諸島東方沖,FALSE
沖縄本島近海,FALSE
沖縄本島北西沖,FALSE
南大東島近海,FALSE
沖縄本島南方沖,FALSE
宮古島近海,FALSE
石垣島近海,FALSE
石垣島南方沖,FALSE
西表島付近,FALSE
与那国島近海,FALSE
宮古島北西沖,FALSE
石垣島北西沖,FALSE
台湾付近,TRUE
東シナ海,FALSE
四国沖,FALSE
鳥島近海,FALSE
鳥島東方沖,FALSE
オホーツク海南部,FALSE
サハリン西方沖,TRUE
日本海北部,FALSE
日本海中部,FALSE
日本海西部,FALSE
父島近海,FALSE
小笠原諸島西方沖,FALSE
小笠原諸島東方沖,FALSE
南海道南方沖,FALSE
サハリン南部付近,TRUE
朝鮮半島南部,TRUE
千島列島,TRUE
千島列島南東沖,TRUE
北海道南東沖,FALSE
東北地方東方沖,FALSE
硫黄島近海,FALSE
本州南方沖,FALSE
北西太平洋,FALSE
マリアナ諸島,TRUE
黄海,TRUE
朝鮮半島北部,TRUE
中国東北部,TRUE
ウラジオストク付近,TRUE
シベリア南部,TRUE
フィリピン付近,TRUE
中国東部,TRUE
サハリン近海,TRUE
アリューシャン列島,TRUE
カムチャツカ半島付近,TRUE
北米西部,TRUE
北米中部,TRUE
北米東部,TRUE
中米,TRUE
南米西部,TRUE
南米中部,TRUE
南米東部,TRUE
北東太平洋,FALSE
南太平洋,FALSE
インドシナ半島付近,TRUE
インドネシア付近,TRUE
グアム付近,TRUE
ニューギニア付近,TRUE
ニュージーランド付近,TRUE
オーストラリア付近,TRUE
シベリア付近,TRUE
ロシア西部,TRUE
ロシア中部,TRUE
ロシア東部,TRUE
中央アジア,TRUE
中国西部,TRUE
中国中部,TRUE
インド付近,TRUE
インド洋,TRUE
中東,TRUE
ヨーロッパ西部,TRUE
ヨーロッパ中部,TRUE
ヨーロッパ東部,TRUE
地中海,TRUE
アフリカ西部,TRUE
アフリカ中部,TRUE
アフリカ東部,TRUE
北大西洋,TRUE
南大西洋,TRUE
北極付近,TRUE
南極付近,TRUE
遠地,TRUE
